Name,Category,Tier,Region,ST,DX,IQ,HT,HP,Will,Per,FP,Basic Speed,Basic Move,Dodge,Parry,DR,SM,Physical Threat,Systemic Threat,Key Skills,Advantages,Disadvantages,Primary Attack,Attack Damage,Secondary Attack,Secondary Damage,Special Abilities,Weakness,Notes,
Common Wombat,Natural Fauna,Common,High country / Snowy Mountains,14,7,3,13,14,9,10,14,5,6,,,4,0,Low (collision),None,,Absolute Direction (home range) / Burrowing / Tunnel Vision,,Collision (if running),1d crush + possible knockdown,,,Collision: DX roll or 1d crush + HT roll or knockdown. Burrow hazard: Per -2 at night or step in burrow (DX or 1d ankle crush).,,Absent above snowgum belt / near platform = omen. Wombat burrows are ankle-trap hazard at night.,
Platypus,Natural Fauna,Common,Eastern rivers — Yarra / Snowy Mountains,3,11,3,11,3,,,,,,,,0,-3,Low (venom),None,,Aquatic,,Spur (male / when handled),1d-4 cut + venom,,,Venom (Defensin peptides): immediate extreme pain / HT at 10min (hyperalgesia +2 pain penalty) / lasts up to months.,No antivenin,Hyperalgesia: all wound pain penalties increased by modifier for duration. Not life-threatening. Extremely miserable.,
Bull Shark,Natural Fauna,Uncommon,Yarra River (Melbourne) / Coastal waterways,22,10,3,12,22,10,14,12,6,10 (water),,,2,1,High,None,,Enhanced Move 2 (water) / No Legs (aquatic) / Bloodscent (detects blood at 400m) / Aggressive,,Bite,3d cut (+ 1d-3 additional on 5-6/d6),,,Ambush: Per -3 in dark water. Bloodscent at 1ppm = detected at 400m. More aggressive than most shark species.,Leaving the water,In the Yarra at 3am during bridge scenes. Not supernatural — just a bull shark in a tidal river.,
Magpie (Swooping),Natural Fauna,Common,All scenarios — ubiquitous,2,14,5,12,2,,,12,7,,,,,–3,Nuisance,None,,Aggressive (swooping season Aug–Nov),,Swoop,1d-5 cut to head,,,Swooping: automatic hit to head / -1 to all Per and DX while being actively swooped.,Leaving nesting territory,Magpies near Birrarung station do NOT swoop — watching instead. Use as atmosphere indicator.,
Brumby Mob (Stampede),Natural Fauna,Uncommon,Snowy Mountains / High country,30 (collective),,,,,,,,6,20 (stampede),,,2 (hide),+2 (mob),High,None,,Enhanced Move 2 (gallop) / Flight response / Panic transmission to herd,,Stampede,3d crush per round exposed / 4d if player is down,,,Width 15m at full spread. Triggers: gunshot (100m auto) / sudden noise 50m (Per roll) / predator smell / supernatural disturbance.,Open ground / Climbing above stampede path,Evasion: Dodge -2. The bay brumby with white blaze: Animal Handling -1 (slightly less reactive). Leads to the platform.,
The Marloo,Supernatural,Rare,Kimberley — ochre gorge surrounds,18,14,6,16,24,14,16,18,7.5,12,,,4,+1 to +2 (variable),Moderate,None,,Alternate Form (any dead animal in territory) / Doesn't Sleep / Indomitable / Night Vision 9 / Silence 4 / Terrain Adaptation / Unfazeable,,Herding / Separation (indirect),,Circling (indirect),Psychological,Fright Checks: first sighting -2 / form change observed -5 / circling sounds at night (Will or -1 to all actions),Ochre across threshold (Will -4 to cross) / Running water / Ceremony with correct intent,Goal: return drill core to gorge. Herds rather than attacks. Withdraws permanently when drill core returned.,
Iron Presence,Supernatural,Rare,Ironbark Station and approaches,,,,,,,,,,,,,Low,None,,,,,,,Psychological,Visible at tree line (20-50m) in low light / Disappears within 10m / Never in full daylight. Fright Checks: tree line sighting -2 / footfalls without sight -1 / semi-circular impressions (Will or -1 to all),Mirrors facing wall / Direct approach,Residue of Robert Cready guilt shaped by Marloo proximity. Fades when Marloo withdraws from gorge.,,,
Stockman's Ghost,Supernatural,Rare,Drysdale River Station / Melbourne (bridge scenes),,,,,,,,,,,,,None,None,,,Partial transparency / More visible at dusk-dawn / Fades in direct sunlight / Silent,,Points,None,,,Directional information only. Points toward gorge / camp warnings / safe crossings. Fright Check: first appearance 0 / subsequent appearances (familiarity) no check.,Distance maintained regardless of approach speed,Cannot be addressed or detained. Appears in Melbourne bridge scenes pointing toward Spencer Street.,,
The Drowned Choir,Supernatural,Rare,Nullarbor caves — flooded lower chambers,,,,,,,,,,,,,None,Psychological,,,Per roll -2 to resist entering water / Will -2 per round if submerged / Fright Check -3 if submerged,,Sound-based lure,None,,,After-effect: dreams of the choir for 1d nights following exposure. Swimming against tidal current requires Swimming -2.,Physical contact from another player breaks effect,Not hostile. Draws players deeper into flooded sections. River Dreaming disadvantage on extended exposure.,,
The Pale Rider,Supernatural,Rare,Snowy Mountains — high country tracks at night,,,,,,,,,,,,,Moderate (if on track),None,,,Partial visibility / Sound fully present (hooves on granite at full volume) / Passes through player position if not avoided,,Passes through,1d crush (if player doesn't move and fails Will -2),,,Fright Check: -2 first encounter. Cannot be photographed — cameras show empty track. Cannot be chased (Move 28).,Moving off the track / Will roll success,The ride still happening in the mountain. Passes through position — not an attack. Will always attempt to run.,,
The Mimi,Supernatural,Uncommon,Kimberley — rocky escarpment near ochre gorge,4,18,7,14,4,14,18,14,8,16 (rock faces),,,0,-1,None,None,,Silence 6 / Terrain Adaptation (rock faces/crevices) / Peripheral only (Per -4 to confirm sighting) / Insubstantial / Windstill sensing,,Cannot attack,None,,,Wind disperses them immediately. Appear only when wind is calm. Communication: Hidden Lore (Dreaming) -2 gives directional information toward gorge.,Wind / Direct observation (fades),Always present in escarpment. Absent from deep gorge chambers = marker of significant change.,
Brolga Dancer,Supernatural Adjacent,Uncommon,Kimberley wetlands / Pilbara,6,12,4,12,6,,,12,6,,,,1,None,None,,,,Beak strike,1d-2 imp (if directly threatened),Wing strike,1d-3 crush (if cornered),Dance pattern readable: Hidden Lore (Dreaming) -1 reveals correct approach to gorge — timing/direction/manner of entry recognised as respectful by Mimi and Marloo.,,Not supernatural — a bird. But the pattern has been shaped by the country over generations. Equivalent information to Dora Mamid's direct guidance.,,
Willy Willy,Supernatural Adjacent,Uncommon,All arid scenarios,3–8,,,,,,,,,,,,Nuisance to Moderate,None,,,,Debris strike,1d-1 crush (significant) / 1d-3 (mundane),,,Significant version (near sites): ST 8 at column edge / DX roll or knockdown within 2m. Direction tracking: Per roll reveals path points toward significant site.,Moving away from column,Always moves toward nearest significant site (thermodynamic / not magical). 1d minutes duration.,,,
Cave Resonance (Embodied),Supernatural,Rare,Nullarbor cave — Karra Cave deepest chamber,,,,,,,,,,,,,None,Psychological,,Will -3 to leave worn circle / Time distortion: 10min game = 1hr real / Will -1 per 10min in circle. Fright Check: -2 if submerged in flooded version. Retrieval: physical touch + name = Will -1 to stand.,,,,,Physical contact + name breaks effect,Not hostile. Produces time distortion and scale recalibration. Permanent effect: Will -1 (enclosed spaces) / Will +1 (open sky at night).,,,,,
Mountain's Regard (Direct),Supernatural,Rare,Granite platform — Snowy Mountains,,,,,,,,,,,,,Psychological,None,,Cold spot: 3-4C below ambient / Hoofprint contact: Per roll for fragment of the ride experience / Will -1 per 10min sustained sound exposure on alpine meadow / Will -2 hands on stone (30+ sec contact requires Will or cannot release for 1d rounds).,,,,,Moving off platform / Completing exchange,Fright Check only if player resists experience (rather than accepting) — then -1. The exchange: horseshoe returned + correct location = mountain's gift delivered. Cannot be fumbled.,,,,,
The Kurrul,Supernatural,Exclusive,Coastal reef off Cossack / Yarra River (conditions),,,4,,,,18,,,,,,Extreme (psychological),None,,Bioluminescence (cold blue-green light visible 30m in dark) / Face-Seeking (Per +4 to detect reflected faces at 50m) / Insubstantial,,No direct attack,None,,,Fright Checks: light rising -1 / full surfacing -4. Permanent effect: Will -1 on critical fail. Kurrul Dreaming: drowning dreams every night until acknowledged. Counter: +1 Will vs water entities (maximum exposure effect).,Not looking into still saltwater at night,Not hostile. Drawn to reflected human faces. Harm is entirely in seeing the scale accurately. Presence in Yarra during bridge scenes possible.,,,
Entity in the Yarra,Supernatural,Exclusive,Yarra River — basalt channel beneath Spencer Street Bridge,60,,2,30,,,,,,,,,,8,Extreme,None,,No Legs (Aquatic) / Doesn't Breathe / Doesn't Sleep / Indomitable / Unfazeable / Injury Tolerance (Diffuse) / Binding Susceptibility (-6 Move when anchor points intact) / Presence Feeding (Will <12: 1 FP/hr within 50m),,,,,,Fright Checks: displacement sighting -3 (failed Will to look) / margin of failure 1-3: paralysis 1d min + 1d FP / 4-6: River Dreaming disadvantage / 7+: Will -1 permanent.,Acknowledgment at Spencer Street (four-part) / Bridge anchor points fully reinforced,Cannot be fought. Feeding is passive and indifferent. Responds only to acknowledgment — ceases pressure when registered.,
Nullarbor Presence,Supernatural,Exclusive,The entire Nullarbor Plain — concentrated in cave system,,,,,,,,,,,,,None,Psychological,,,Environmental mechanics only: Will -1 per 10min exposure on plain (if stationary) / Will -3 in worn circle / time distortion. Fright Check: seeing Kurrul equivalent.  Player who goes outside at night: Will -3. All FP and Will rolls as per main scenario.,,,,,Physical contact from another player / Dawn,Cannot be stat-blocked. Not an entity — the plain breathing. Permanent recalibration: -1 Will enclosed spaces / +1 Will open sky at night. Both effects real and permanent.,,,,
The Keeper,Supernatural,Rare,Kimberley — track between gorge and station,,,,,,,,,,,,,,None,Extreme (if disrespected),,,Speaks once then gone,,,,,,Country reacts to disrespect in his presence: Marloo activates / temperature drops / equipment fails. Not his action — country's response. Trust: Per roll to notice he knows things he should not. Hidden Lore (Dreaming) -2 for directional gift after correct encounter.,Respect / Correct behaviour in presence,Appears once. Cannot be followed. Gives the one piece the players are missing. Departure: simply not present. Permanent gift: +1 Hidden Lore (Dreaming) to most attentive player.,
The Thing That Wears the Drowned,Supernatural,Exclusive,Melbourne — Last Train / last carriage (conditional),16,14,6,14,16,14,16,14,7,7,,,2,0,Extreme (psychological),None,,Mimic (target loved one — Acting 18) / Detect Emotion (calibrates mimicry in real time) / Cannot cross running water,,No direct attack — draws player to sit with it,None,,,Fright Check -5 on first seeing loved one's face. Trigger: three consecutive Will failures among Last Train passengers. Breaks: another player physical contact + name (Will +2) / player states 'you are not [name]' with conviction (creature Will -2 or retreats).,Direct acknowledgment of true nature / Running water / Another player's physical intervention,"Assembles appearance from player's emotional residue during train ride. After-effect: see loved one's face in crowds occasionally for rest of campaign — not the creature, just homesickness.",
The Administrative Appetite,Systemic,Exclusive,Canberra — the system itself,,,,,,,,,,,,,,None,Campaign-ending,,Cannot be stat-blocked. Operates through credentials and processes. Attacks: Level 1 (employer contacts 1d days) / Level 2 (professional body complaints 2d weeks) / Level 3 (financial flags 48hr) / Level 4 (administrative death certificates — 48hr window before permanent erasure).,Death certificates / FOI reference numbers / Senate committee hearing dates,,,,,,Counters: L1 Diplomacy (affected parties) / L2 Law skill or solicitor / L3 cash economy + Information Commissioner (30 days) / L4 matching credential level counter-file.,Naming it publicly (publication + Senate testimony) / Custodial testimony pathway,Not evil. Not conscious. A system with a century of practice. The most dangerous thing in the campaign.,
The Last Train Passengers,Supernatural,Rare,Melbourne — City Loop / Last Train,,,,,,,,,,,,,None,Psychological,,Will rolls per 10 minutes: 1st (no penalty) / 2nd (-1) / 3rd (-2) / 4th+ (-3). Failure table: 1-2 (-1 IQ 10min) / 3-4 (-2 Per rest of journey) / 5 (Will -3 to stand) / 6 (Fright Check -2). Per -2 for direct gaze 5+ seconds.,,,,,,,Physical contact from another player / Naming Constance's patient / Reaching Birrarung station,Not individuals — accumulated residue of hundreds of millions of journeys. Cannot be removed from train while moving. Constance can be moved. Passengers cannot.,,,
Constance Okafor (Passenger State),Human NPC,Special,Melbourne — City Loop / Last Train,9,10,12,11,9,14,12,9,5.25,1 (while aboard),,,,,None,None,Psychology-13 / First Aid-11,,,None — she is a person in distress,,,Move is 1: not motivated to move. Marcus (son's name) = key — resets Will to full immediately and she becomes fully present. Psychology roll stabilises her (+2 Will for journey). Name of her patient (Helen) = resolution trigger.,Physical touch + name of loved one / Hearing son's name,Not a threat. Not an enemy. A person who boarded looking for someone dead and stayed because time became confused. Must be recovered — her son is seven.,,
Curious Local,Human NPC,Tier One,All scenarios — small towns / roadhouses,10,10,10,11,10,10,12,11,5.25,5,,,,,None,Low,Current Affairs (local)-15 / Gossip-12 / Carousing-13 / Detect Lies-10 / Streetwise (local)-13,Contact Group (entire community skill 12 15+) / Claim to Hospitality,Curious / Overconfidence / Nosy,Gossip (social),None,,,Whatever players tell them is known to entire town within 24 hours. Roll 1d for what they know (1-2 nothing / 3 recent strangers / 4 name needed / 5 accurate legend / 6 witnessed unexplained event).,Diplomacy or Fast-Talk to redirect,Not malicious. Just interested. The gossip consequence is more dangerous than the person.,
Volunteer Searcher,Human NPC,Tier One,Rural / remote — missing person contexts,11,11,10,12,11,11,12,12,5.75,5,,,,,None,Low (witness complications),Navigation (Land)-13 / Survival-12 / First Aid-11 / Driving (4WD)-13 / Search-12,Contact (local emergency services 9+) / Fit / Claim to Hospitality,Sense of Duty (missing persons) / Stubbornness,Creates witness record,None,,,Grid maps show exactly where searchers have been — gaps show where players need to go. Searcher testimony available to investigators.,Stealth vs their search pattern / Diplomacy +1 (cooperative),Well-intentioned. In the way. Will report unusual activity to SES coordinator. Everything goes in their notes.,
Drunk at the Pub,Human NPC,Tier One,All pub and roadhouse encounters,12,7 (currently),9 (currently),13,12,6 (currently),7 (currently),5 (currently),,,,,,None,None,Brawling-12 (currently 10) / Carousing-14 / Current Affairs (local legends)-13 / Intimidation-10,,Alcoholism / Bully / Overconfidence / Stubbornness,Punch (if provoked),1d crush,,,Information filter: Detect Lies or Psychology -2 to distinguish signal from noise. Roll 1d: 3 (name needed) / 4 (local name for entity) / 5 (location needed) / 6 (event in no record anywhere).,Intimidation vs Will — backs down on success / Buy him a drink +2 to Reaction,Contradicting him = Reaction -2. Dismissing him = confrontation. Half embellishment half accurate legend.,,
Amateur Paranormal Investigator,Human NPC,Tier One,All scenarios — Melbourne / Nullarbor particularly,9,11,12,10,9,9,13,10,5.25,5,,,,,None,Moderate (social media exposure),Research-13 / Electronics Op (AV)-13 / Current Affairs (paranormal)-14 / Fast-Talk-12 / Photography-13,Eidetic Memory (online content) / Contact (paranormal community 12+),Curious / Overconfidence / Recklessness / Sense of Duty (audience),Camera (records everything),None,,,Fright Check -1 when witnessing event. On success: uploads extraordinary footage immediately. On failure: runs — still uploads from car. Three million views in 48 hours.,Fast-Talk or Diplomacy to remove footage / Theft to take device,Thoroughly researched the location. Thermal camera detects cold spots and temperature differentials. Share research on Diplomacy +1.,
Journalist's Editor,Human NPC,Tier One,Melbourne / Sydney,9,10,14,10,9,13,14,10,6,5,,,,,None,Moderate (controls publication),Writing-15 / Law (Media/Defamation)-14 / Administration-14 / Research-14 / Diplomacy-15 / Fast-Talk-13 / Psychology-13,Contact Group (media industry skill 14 12+) / Legal Enforcement Powers (editorial),Sense of Duty (publication) / Caution / Stubbornness,Editorial delay,None,,,Publication requires: 2 independent sources per claim (Research roll) + documentary evidence + right of reply sent + legal review complete (1d days). Each legal threat from department: +1d days delay.,Provide additional documentation (each piece -1 day delay),Not the enemy. The system through which the story exists. Legal department threats are standard procedure.,
Craig Holt,Human Antagonist,Tier Two,Kimberley / Melbourne (legal) / Canberra,10,10,12,11,10,8 (near gorge at night),10,11,5.25,5,8,8,,,Low (direct),High (systemic),Administration-14 / Law (Corporate/Resources)-13 / Fast-Talk-13 / Intimidation-11 / Guns (Pistol)-11,Legal Enforcement Powers (corporate) / Wealth (Comfortable) / Contact Group (resources industry skill 13 9+),Greed / Cowardice (Will -2 when threatened) / Duty (company 15+) / Secret (no full heritage clearance) / Nightmares,Pistol (licensed),2d+2 pi,,,Confrontation sequence: 1 verbal warning / 2 physical restraint / 3 call backup (20-40min response) / 4 weapon drawn (if player draws first) / 5 lethal force (only if fired upon — aims for legs). Will accepts escape deal if credibly offered immunity.,Immunity offer for cooperation / Confrontation at night near gorge (Will 8),Has deleted photographs from satellite communicator — recoverable on Electronics Op (Communications)-11. Does not know what is in the drill core. Afraid of it.,
Irene (Roadhouse Operator),Human NPC,Tier Two,Nullarbor,8,10,13,11,8,15,14,11,6,5,,,,,None,None,Psychology-14 / First Aid-13 / Research-12 / Detect Lies-15 / Current Affairs (Nullarbor)-16,Empathy / Common Sense / Contact (emergency services skill 13 12+) / Eidetic Memory (roadhouse),Sense of Duty (travellers) / Nightmares / Stubborn,Warning (social),None,,,Reaction +1 base / +2 if in genuine distress / -1 if dismissive of warning / -3 if ignore warning and return worse. Gives names from triple-zero calls freely. Corkboard requires trust.,Respect the warning then ask about it,Knows one of the returning three personally — will acknowledge if pressed gently but not name them. Not a mystery — a private grief she is entitled to keep.,
Sandra Walgett,Human NPC,Tier Two,Canberra / Darwin (initially),9,11,14,11,9,14,13,11,6.25,5,,,,,None,None,Anthropology-15 / Archaeology-14 / Research-16 / Law (Heritage/Indigenous)-14 / Diplomacy-14 / Detect Lies-14,Cultural Familiarity / Contact (Walgalu community skill 14 9+) / Legal Enforcement Powers (heritage assessor — suspended) / Intuition,Sense of Duty (great-grandfather's legacy) / Stubbornness / Enemy (Office of Strategic Coordination 9+) / Wealth (Struggling),Information,None,,,Has memorised full content of 1923 survey including Thomas Walgett's marginal note verbatim. Verification question: 'What did the ochre smell like?' (iron and something sweet). On correct answer: Reaction +4.,Tommy Barunga facilitation (Diplomacy +2) / David Carrick contact / Physical visit to Darwin,Thomas Walgett's great-granddaughter. Went into public service specifically to recover the survey. Cannot be reached by any system-mediated communication.,
Private Security Contractor,Human Antagonist,Tier Two,Kimberley / Pilbara mining sites / Canberra,12,12,10,12,12,11,12,12,6,6,9,9,,,Moderate,Low,Guns (Pistol)-14 / Guns (Rifle)-13 / Brawling-13 / First Aid-12 / Driving (4WD)-13 / Intimidation-13 / Law (Trespass/Security)-11 / Observation-13 / Tactics-11,Combat Reflexes / Fit / Legal Enforcement Powers (trespass/detention),Duty (company 12+) / Code of Honour (no lethal force first) / Greed (negotiable),Pistol (licensed),2d+2 pi,,,Deployed in pairs / 6-hour rotating shifts / 2km perimeter / 20-40min backup response. Sequence: verbal / restraint / call backup / draw weapon / lethal force (only if fired upon). Lethal force paperwork is catastrophic — they avoid it.,Diplomatic cover story (Diplomacy 0) / Knowledge of site significance (causes hesitation — Will roll or steps aside),Greed modifier: +2 to negotiations if player offers financial incentive. Code of Honour: will not falsify reports or exceed authority.,
Detective (Investigating Players),Human Antagonist,Tier Two,All scenarios — when players become visible,11,12,13,12,11,13,14,12,6.25,6,9,9,,,Moderate,High,Criminology-15 / Detect Lies-15 / Interrogation-14 / Law (Criminal)-14 / Guns (Pistol)-13 / Brawling-12 / Research-14 / Observation-15 / Psychology-13,Legal Enforcement Powers / Intuition / Contact Group (police skill 13 12+) / Unfazeable,Sense of Duty (the law) / Code of Honour (police) / Stubborn,Arrest (conditional),,Interview (formal),,Detect Lies-15 vs player Fast-Talk or Acting in all encounters. Research roll per day of investigation + Criminology to synthesise pattern. Will not arrest without grounds but notes all inconsistencies and returns.,Physical evidence of supernatural that defies framework / Offering them the framework as ally,Turning point: player who provides undeniable evidence creates choice — file anomaly or acknowledge insufficient framework. Framework-abandoning detective = extremely powerful ally. One of the most dangerous conventional threats.,
Mining Site Foreman,Human NPC,Tier Two,Kimberley — survey site,13,12,11,13,13,11,12,13,6.25,6,,,,,Low,Moderate,Geology-13 / Mechanic (Mining Equipment)-15 / Driving (4WD)-14 / Guns (Rifle)-13 / Survival (Desert)-14 / Leadership-13 / Intimidation-12,Fit / Hard to Kill +2 / Danger Sense,Stubbornness / Duty (company 12+) / Sense of Duty (team) / Superstition (latent),Rifle (if directly threatened),Various,,,Has full equipment logs showing every malfunction/impossible magnetometry reading near gorge. Gives logs on: Diplomacy -1 success OR player demonstrates knowledge of ochre gorge significance (no roll needed). Psychology/Detect Lies to spot performed certainty.,Knowledge of gorge contents / Demonstrating respect for the situation,Not the enemy. Has been waiting for someone to acknowledge what is happening. Checks over shoulder near drill site — habit developed last 6 weeks.,
